country,item_names,item_prices_usd,categoria_propia
Taiwan,"Meal for 2 People,Mid-range Restaurant, Three-course",29.37,Restaurantes
Colombia,"Meal for 2 People,Mid-range Restaurant, Three-course",25.62,Restaurantes
Iraq,"Meal for 2 People,Mid-range Restaurant, Three-course",21.0,Restaurantes
Libya,"Meal for 2 People,Mid-range Restaurant, Three-course",24.7,Restaurantes
Peru,"Meal for 2 People,Mid-range Restaurant, Three-course",26.63,Restaurantes
Iran,"Meal for 2 People,Mid-range Restaurant, Three-course",22.0,Restaurantes
Kenya,"Meal for 2 People,Mid-range Restaurant, Three-course",29.68,Restaurantes
Egypt,"Meal for 2 People,Mid-range Restaurant, Three-course",16.69,Restaurantes
Ecuador,"Meal for 2 People,Mid-range Restaurant, Three-course",36.0,Restaurantes
Philippines,"Meal for 2 People,Mid-range Restaurant, Three-course",20.91,Restaurantes
Morocco,"Meal for 2 People,Mid-range Restaurant, Three-course",24.78,Restaurantes
China,"Meal for 2 People,Mid-range Restaurant, Three-course",27.63,Restaurantes
Tunisia,"Meal for 2 People,Mid-range Restaurant, Three-course",19.08,Restaurantes
Sri Lanka,"Meal for 2 People,Mid-range Restaurant, Three-course",20.25,Restaurantes
India,"Meal for 2 People,Mid-range Restaurant, Three-course",14.39,Restaurantes
Malaysia,"Meal for 2 People,Mid-range Restaurant, Three-course",21.1,Restaurantes
Bolivia,"Meal for 2 People,Mid-range Restaurant, Three-course",20.0,Restaurantes
Thailand,"Meal for 2 People,Mid-range Restaurant, Three-course",24.44,Restaurantes
Algeria,"Meal for 2 People,Mid-range Restaurant, Three-course",21.48,Restaurantes
Nigeria,"Meal for 2 People,Mid-range Restaurant, Three-course",35.62,Restaurantes
Vietnam,"Meal for 2 People,Mid-range Restaurant, Three-course",20.0,Restaurantes
Nepal,"Meal for 2 People,Mid-range Restaurant, Three-course",18.78,Restaurantes
Indonesia,"Meal for 2 People,Mid-range Restaurant, Three-course",15.55,Restaurantes
Bangladesh,"Meal for 2 People,Mid-range Restaurant, Three-course",9.13,Restaurantes
Pakistan,"Meal for 2 People,Mid-range Restaurant, Three-course",13.29,Restaurantes
Switzerland,McMeal at McDonalds(or Equivalent Combo Meal),16.53,Restaurantes
Denmark,McMeal at McDonalds(or Equivalent Combo Meal),12.95,Restaurantes
United States,McMeal at McDonalds(or Equivalent Combo Meal),10.88,Restaurantes
Belgium,McMeal at McDonalds(or Equivalent Combo Meal),10.73,Restaurantes
Luxembourg,McMeal at McDonalds(or Equivalent Combo Meal),12.32,Restaurantes
United Kingdom,McMeal at McDonalds(or Equivalent Combo Meal),8.78,Restaurantes
Israel,McMeal at McDonalds(or Equivalent Combo Meal),14.78,Restaurantes
Canada,McMeal at McDonalds(or Equivalent Combo Meal),10.79,Restaurantes
Norway,McMeal at McDonalds(or Equivalent Combo Meal),11.84,Restaurantes
Netherlands,McMeal at McDonalds(or Equivalent Combo Meal),11.81,Restaurantes
Ireland,McMeal at McDonalds(or Equivalent Combo Meal),9.66,Restaurantes
Australia,McMeal at McDonalds(or Equivalent Combo Meal),9.86,Restaurantes
Greece,McMeal at McDonalds(or Equivalent Combo Meal),9.66,Restaurantes
Uruguay,McMeal at McDonalds(or Equivalent Combo Meal),10.5,Restaurantes
Cyprus,McMeal at McDonalds(or Equivalent Combo Meal),7.78,Restaurantes
Austria,McMeal at McDonalds(or Equivalent Combo Meal),10.73,Restaurantes
Italy,McMeal at McDonalds(or Equivalent Combo Meal),10.73,Restaurantes
Malta,McMeal at McDonalds(or Equivalent Combo Meal),10.14,Restaurantes
France,McMeal at McDonalds(or Equivalent Combo Meal),10.73,Restaurantes
Finland,McMeal at McDonalds(or Equivalent Combo Meal),10.73,Restaurantes
New Zealand,McMeal at McDonalds(or Equivalent Combo Meal),8.96,Restaurantes
Germany,McMeal at McDonalds(or Equivalent Combo Meal),10.73,Restaurantes
Spain,McMeal at McDonalds(or Equivalent Combo Meal),9.5,Restaurantes
Estonia,McMeal at McDonalds(or Equivalent Combo Meal),8.59,Restaurantes
Slovenia,McMeal at McDonalds(or Equivalent Combo Meal),8.37,Restaurantes
Lithuania,McMeal at McDonalds(or Equivalent Combo Meal),7.51,Restaurantes
Sweden,McMeal at McDonalds(or Equivalent Combo Meal),9.21,Restaurantes
Singapore,McMeal at McDonalds(or Equivalent Combo Meal),7.39,Restaurantes
Portugal,McMeal at McDonalds(or Equivalent Combo Meal),8.59,Restaurantes
Latvia,McMeal at McDonalds(or Equivalent Combo Meal),7.51,Restaurantes
Bulgaria,McMeal at McDonalds(or Equivalent Combo Meal),8.23,Restaurantes
Croatia,McMeal at McDonalds(or Equivalent Combo Meal),7.51,Restaurantes
Montenegro,McMeal at McDonalds(or Equivalent Combo Meal),6.48,Restaurantes
Albania,McMeal at McDonalds(or Equivalent Combo Meal),7.49,Restaurantes
Hungary,McMeal at McDonalds(or Equivalent Combo Meal),7.72,Restaurantes
Armenia,McMeal at McDonalds(or Equivalent Combo Meal),7.75,Restaurantes
Panama,McMeal at McDonalds(or Equivalent Combo Meal),8.0,Restaurantes
Venezuela,McMeal at McDonalds(or Equivalent Combo Meal),10.0,Restaurantes
Costa Rica,McMeal at McDonalds(or Equivalent Combo Meal),9.82,Restaurantes
Romania,McMeal at McDonalds(or Equivalent Combo Meal),6.47,Restaurantes
