categoria_propia,pais,precio_relativo
Electrodomésticos,Ecuador,0.8496973388916775
Tarifa horaria trabajo doméstico,Ecuador,1.25
Alquiler,Ecuador,1.528600662896749
Transporte,Ecuador,1.521739130434783
Servicios públicos,Ecuador,2.194915254237288
Vehículos,Ecuador,1.380218368657675
"Alimentos, bebidas y tabaco",Egypt,2.788789707203407
Restaurantes,Egypt,2.267927003505554
Cuidado personal,Egypt,3.385742414922071
Nafta,Egypt,5.269230769230769
Comunicaciones,Egypt,2.833333333333333
Ocio,Egypt,2.091855004898483
Ropa y calzado,Egypt,1.039049830458499
Electrodomésticos,Egypt,1.184141247581288
Tarifa horaria trabajo doméstico,Egypt,3.584229390681004
Alquiler,Egypt,2.86054373944083
Transporte,Egypt,1.590909090909091
Servicios públicos,Egypt,3.91705069124424
Vehículos,Egypt,1.063011300939843
"Alimentos, bebidas y tabaco",Estonia,1.057729735788506
Restaurantes,Estonia,0.7600708778858224
Cuidado personal,Estonia,0.5732371603060439
Nafta,Estonia,0.7405405405405405
Comunicaciones,Estonia,1.222222222222222
Ocio,Estonia,0.726984126984127
Ropa y calzado,Estonia,0.8848210036888404
Electrodomésticos,Estonia,0.7405759436603551
Tarifa horaria trabajo doméstico,Estonia,0.5555555555555556
Alquiler,Estonia,0.9802495814579315
Transporte,Estonia,1.166666666666667
Servicios públicos,Estonia,0.5822168785068131
Vehículos,Estonia,0.7858566871724767
"Alimentos, bebidas y tabaco",Finland,0.7395245407694394
Restaurantes,Finland,0.6207491142898386
Cuidado personal,Finland,0.9506989773235496
Nafta,Finland,0.6431924882629109
Comunicaciones,Finland,1.453947368421053
Ocio,Finland,0.5933079976858778
Ropa y calzado,Finland,0.6724465334028218
Electrodomésticos,Finland,0.9042951419200247
Tarifa horaria trabajo doméstico,Finland,0.2325581395348837
Alquiler,Finland,0.5138766936168139
Transporte,Finland,0.5307692307692308
Servicios públicos,Finland,1.80125
Vehículos,Finland,0.8862658187190853
"Alimentos, bebidas y tabaco",France,0.7090216030031931
Restaurantes,France,0.6091817992596843
Cuidado personal,France,1.027482010665983
Nafta,France,0.6748768472906405
Comunicaciones,France,0.5851293103448276
Ocio,France,0.7264099716154511
Ropa y calzado,France,0.8295791400659086
Electrodomésticos,France,0.855043366210624
Tarifa horaria trabajo doméstico,France,0.5555555555555556
Alquiler,France,0.6238298935865654
Transporte,France,0.5307692307692308
Servicios públicos,France,0.6295922826123492
Vehículos,France,0.9476268974517481
"Alimentos, bebidas y tabaco",Georgia,1.320426396517956
Restaurantes,Georgia,1.122130891673608
Cuidado personal,Georgia,0.8885410822010461
Nafta,Georgia,1.245454545454545
Comunicaciones,Georgia,1.455128205128205
Ocio,Georgia,1.843840579710145
Ropa y calzado,Georgia,0.805743699978369
Electrodomésticos,Georgia,0.9234459565761426
Tarifa horaria trabajo doméstico,Georgia,1.428571428571429
Alquiler,Georgia,0.8513661427699112
Transporte,Georgia,2.1875
Servicios públicos,Georgia,1.74906015037594
Vehículos,Georgia,4.982521847690387
"Alimentos, bebidas y tabaco",Germany,0.8846056476320361
Restaurantes,Germany,0.7494494762673587
Cuidado personal,Germany,1.02773002783882
Nafta,Germany,0.6989795918367347
Comunicaciones,Germany,0.7349593495934961
Ocio,Germany,0.7374411979063142
Ropa y calzado,Germany,0.8789711632453567
Electrodomésticos,Germany,0.9996837120240721
Tarifa horaria trabajo doméstico,Germany,0.5263157894736842
Alquiler,Germany,0.521402838938484
Transporte,Germany,0.6272727272727272
Servicios públicos,Germany,0.5330301061295213
Vehículos,Germany,0.7763272655656529
"Alimentos, bebidas y tabaco",Greece,0.921581071243306
Restaurantes,Greece,0.837377138492784
Cuidado personal,Greece,1.205768587225006
Nafta,Greece,0.6618357487922706
Comunicaciones,Greece,0.9565217391304348
Ocio,Greece,1.182247899159664
Ropa y calzado,Greece,0.9423808081342329
Electrodomésticos,Greece,0.9132449564930152
Tarifa horaria trabajo doméstico,Greece,1.428571428571429
Alquiler,Greece,1.25983612222979
Transporte,Greece,1.166666666666667
Servicios públicos,Greece,0.6809815950920246
Vehículos,Greece,0.9058170835795417
"Alimentos, bebidas y tabaco",Guatemala,0.9282717666037377
Restaurantes,Guatemala,1.146748244823674
Cuidado personal,Guatemala,0.8789481656569538
Nafta,Guatemala,1.0703125
Comunicaciones,Guatemala,0.5827886710239651
Ocio,Guatemala,1.171389539422326
Ropa y calzado,Guatemala,0.9408956665550321
Electrodomésticos,Guatemala,0.9556111205595742
Tarifa horaria trabajo doméstico,Guatemala,2.164502164502164
Alquiler,Guatemala,1.108965621591802
Transporte,Guatemala,1.029411764705882
Servicios públicos,Guatemala,1.924649859943978
Vehículos,Guatemala,1.142057068105633
"Alimentos, bebidas y tabaco",Hong Kong,0.5863450337518377
Restaurantes,Hong Kong,0.7867850016444141
Cuidado personal,Hong Kong,0.8692066192132087
Nafta,Hong Kong,0.434920634920635
Comunicaciones,Hong Kong,0.641051567239636
Ocio,Hong Kong,0.6763662582628099
Ropa y calzado,Hong Kong,0.9159912557159968
Electrodomésticos,Hong Kong,1.23002735260771
Tarifa horaria trabajo doméstico,Hong Kong,0.7692307692307693
Alquiler,Hong Kong,0.2622518343077712
Transporte,Hong Kong,0.5476190476190477
Servicios públicos,Hong Kong,0.4662515066291683
Vehículos,Hong Kong,1.051488576912944
"Alimentos, bebidas y tabaco",Hungary,1.26257733995497
Restaurantes,Hungary,1.263818095752531
Cuidado personal,Hungary,0.8732823536236118
Nafta,Hungary,0.7873563218390806
Comunicaciones,Hungary,1.486111111111111
Ocio,Hungary,1.001560758082497
Ropa y calzado,Hungary,0.9886485585471171
Electrodomésticos,Hungary,1.11621532457105
Tarifa horaria trabajo doméstico,Hungary,0.9090909090909091
Alquiler,Hungary,1.157136146053154
Transporte,Hungary,1.346153846153846
Servicios públicos,Hungary,0.9652271034996276
Vehículos,Hungary,0.9737102124355989
"Alimentos, bebidas y tabaco",India,2.087640989781962
Restaurantes,India,1.764862222643284
Cuidado personal,India,2.337178515386328
Nafta,India,1.122950819672131
Comunicaciones,India,3.321428571428572
Ocio,India,2.275
Ropa y calzado,India,2.125439831104856
Electrodomésticos,India,1.05604238793232
Tarifa horaria trabajo doméstico,India,1.428571428571429
Alquiler,India,2.542162297956666
Transporte,India,2.5
Servicios públicos,India,2.207516339869281
Vehículos,India,1.231844437585431
"Alimentos, bebidas y tabaco",Indonesia,1.38834524625849
Restaurantes,Indonesia,2.249645540193962
Cuidado personal,Indonesia,2.464645548065629
Nafta,Indonesia,1.802631578947369
Comunicaciones,Indonesia,0.7383333333333333
Ocio,Indonesia,2.088669950738916
Ropa y calzado,Indonesia,1.269496352757971
Electrodomésticos,Indonesia,1.243927674300043
Tarifa horaria trabajo doméstico,Indonesia,2.232142857142857
Alquiler,Indonesia,1.368481047056549
Transporte,Indonesia,2.916666666666667
Servicios públicos,Indonesia,1.225642490005711
Vehículos,Indonesia,0.8311394921533781
"Alimentos, bebidas y tabaco",Iran,0.188233540971041
Restaurantes,Iran,0.1472209064336699
Cuidado personal,Iran,0.2244313840162027
Nafta,Iran,1.191304347826087
Comunicaciones,Iran,0.4622132253711201
Ocio,Iran,0.3420290929270814
Ropa y calzado,Iran,0.1164738953296519
Electrodomésticos,Iran,0.06640419734936531
Tarifa horaria trabajo doméstico,Iran,0.2941176470588235
Alquiler,Iran,0.1509154984785998
Transporte,Iran,0.2269736842105263
Servicios públicos,Iran,0.06276915133158378
Vehículos,Iran,0.05914200898072039
"Alimentos, bebidas y tabaco",Iraq,1.71240129823803
Restaurantes,Iraq,1.308805458928221
Cuidado personal,Iraq,1.280258740733736
Nafta,Iraq,2.914893617021277
Comunicaciones,Iraq,0.6175213675213675
Ocio,Iraq,1.174466098727973
Ropa y calzado,Iraq,1.463254650754651
Electrodomésticos,Iraq,1.14293656280442
Tarifa horaria trabajo doméstico,Iraq,1.941747572815534
Alquiler,Iraq,1.525006587539445
Transporte,Iraq,1.129032258064516
Servicios públicos,Iraq,0.7358681177388988
Vehículos,Iraq,1.638822080131402
"Alimentos, bebidas y tabaco",Ireland,0.665603350680879
Restaurantes,Ireland,0.5985756383657775
Cuidado personal,Ireland,0.6863421616231034
Nafta,Ireland,0.7210526315789475
Comunicaciones,Ireland,0.4764957264957265
Ocio,Ireland,0.5126845189525999
Ropa y calzado,Ireland,0.8069192129805141
Electrodomésticos,Ireland,0.9198481212424482
Tarifa horaria trabajo doméstico,Ireland,0.5882352941176471
Alquiler,Ireland,0.3575110325716039
Transporte,Ireland,0.4539473684210527
Servicios públicos,Ireland,0.4925925925925926
Vehículos,Ireland,0.8651199247530961
"Alimentos, bebidas y tabaco",Israel,0.7596597445292697
Restaurantes,Israel,0.6295263419093251
Cuidado personal,Israel,0.9508829720753418
Nafta,Israel,0.6919191919191919
Comunicaciones,Israel,1.277777777777778
Ocio,Israel,0.7167200574079224
Ropa y calzado,Israel,0.7679389433573309
Electrodomésticos,Israel,0.9673087567885931
Tarifa horaria trabajo doméstico,Israel,0.625
Alquiler,Israel,0.5437777168898557
Transporte,Israel,0.575
Servicios públicos,Israel,0.706280193236715
Vehículos,Israel,0.7569265375541778
"Alimentos, bebidas y tabaco",Italy,0.8528686353067102
Restaurantes,Italy,0.8702219589590917
Cuidado personal,Italy,0.7916436077220963
Nafta,Italy,0.6884422110552765
Comunicaciones,Italy,0.582046332046332
Ocio,Italy,0.6646702667321224
Ropa y calzado,Italy,0.9379183400267738
Electrodomésticos,Italy,0.8695142581715808
Tarifa horaria trabajo doméstico,Italy,0.8333333333333334
Alquiler,Italy,0.5899251188938825
Transporte,Italy,0.8625
Servicios públicos,Italy,0.5957983193277311
Vehículos,Italy,0.8314650756343036
"Alimentos, bebidas y tabaco",Jamaica,0.6340268615073484
Restaurantes,Jamaica,0.967438831238941
Cuidado personal,Jamaica,1.155876072950612
Nafta,Jamaica,0.9013157894736843
Comunicaciones,Jamaica,0.3708904109589041
Ocio,Jamaica,1.133611111111111
Ropa y calzado,Jamaica,1.183911961929483
Electrodomésticos,Jamaica,2.270868467596132
Tarifa horaria trabajo doméstico,Jamaica,2.512562814070352
Alquiler,Jamaica,0.9467165299925635
Transporte,Jamaica,0.7666666666666666
Servicios públicos,Jamaica,0.6240224385414948
Vehículos,Jamaica,1.520298215063126
"Alimentos, bebidas y tabaco",Japan,1.022410415711872
Restaurantes,Japan,1.211864193645008
Cuidado personal,Japan,0.9373163217390668
Nafta,Japan,1.256880733944954
Comunicaciones,Japan,0.7848297213622292
Ocio,Japan,1.136904761904762
Ropa y calzado,Japan,1.425265190782773
Electrodomésticos,Japan,1.391021208160861
Tarifa horaria trabajo doméstico,Japan,1.25
Alquiler,Japan,0.5930619336946684
Transporte,Japan,0.5390625
Servicios públicos,Japan,0.8175101314618958
Vehículos,Japan,1.41053216197112
"Alimentos, bebidas y tabaco",Jordan,1.384065447914443
Restaurantes,Jordan,0.7954941045987324
Cuidado personal,Jordan,0.9081467625483977
Nafta,Jordan,1.022388059701492
Comunicaciones,Jordan,1.062271062271062
Ocio,Jordan,0.6963556562876622
Ropa y calzado,Jordan,1.081628660854013
Electrodomésticos,Jordan,2.471511170821516
Tarifa horaria trabajo doméstico,Jordan,1.428571428571429
Alquiler,Jordan,1.323422550585379
Transporte,Jordan,0.6272727272727272
Servicios públicos,Jordan,1.488383838383838
Vehículos,Jordan,0.8046248505525909
"Alimentos, bebidas y tabaco",Kazakhstan,1.555467085446592
Restaurantes,Kazakhstan,1.302648907034491
Cuidado personal,Kazakhstan,1.126186125665759
Nafta,Kazakhstan,2.686274509803922
Comunicaciones,Kazakhstan,2.266666666666667
Ocio,Kazakhstan,1.390879251344368
Ropa y calzado,Kazakhstan,1.037193307858313
Electrodomésticos,Kazakhstan,0.7569736221229038
Tarifa horaria trabajo doméstico,Kazakhstan,1.111111111111111
Alquiler,Kazakhstan,1.104562222282049
Transporte,Kazakhstan,2.916666666666667
Servicios públicos,Kazakhstan,2.514619883040936
Vehículos,Kazakhstan,0.8177884472896476
"Alimentos, bebidas y tabaco",Kenya,1.599758103329606
Restaurantes,Kenya,1.776191300594602
Cuidado personal,Kenya,1.465101281318763
Nafta,Kenya,0.8616352201257862
Comunicaciones,Kenya,2.62280701754386
Ocio,Kenya,1.045008183306056
Ropa y calzado,Kenya,2.512320937857104
Electrodomésticos,Kenya,1.520310799747052
Tarifa horaria trabajo doméstico,Kenya,
Alquiler,Kenya,1.820478280761729
Transporte,Kenya,1.060606060606061
Servicios públicos,Kenya,3.57679033649698
Vehículos,Kenya,1.404292751583392
"Alimentos, bebidas y tabaco",Kosovo,1.273666786066572
Restaurantes,Kosovo,2.081031790068214
Cuidado personal,Kosovo,1.394126103917821
Nafta,Kosovo,0.8896103896103896
Comunicaciones,Kosovo,2.944444444444445
Ocio,Kosovo,1.660079051383399
Ropa y calzado,Kosovo,1.81375507567368
Electrodomésticos,Kosovo,0.741134027219815
Tarifa horaria trabajo doméstico,Kosovo,0.8333333333333334
Alquiler,Kosovo,1.663107243804985
Transporte,Kosovo,2.5
Servicios públicos,Kosovo,1.767787243840663
Vehículos,Kosovo,1.237848376091098
"Alimentos, bebidas y tabaco",Kuwait,1.110588035748854
Restaurantes,Kuwait,0.7455667882577731
Cuidado personal,Kuwait,0.8203003576893898
Nafta,Kuwait,4.419354838709678
Comunicaciones,Kuwait,0.8933002481389579
Ocio,Kuwait,0.8738015607580825
Ropa y calzado,Kuwait,0.9444478049930514
Electrodomésticos,Kuwait,1.505619553746666
Tarifa horaria trabajo doméstico,Kuwait,1.111111111111111
