categoria_propia,pais,precio_relativo
Alquiler,Latvia,1.113792545906854
Servicios de la vivienda,Latvia,0.3173124689518133
Comunicaciones,Latvia,1.330046177812396
Ocio,Latvia,0.7259297809925471
Ropa y calzado,Latvia,0.8087274687486796
Precio metro cuadrado,Latvia,0.927619266097387
Enseñanza privada,Latvia,0.6025562461725222
Restaurantes,Bulgaria,1.048334540644491
"Alimentos, bebidas y tabaco",Bulgaria,1.155432909272869
Transporte,Bulgaria,1.29350976429933
Nafta,Bulgaria,0.9261744966442952
Vehículos,Bulgaria,1.002037179437024
Alquiler,Bulgaria,1.249110742114067
Servicios de la vivienda,Bulgaria,0.8965698745503993
Comunicaciones,Bulgaria,1.647788075795514
Ocio,Bulgaria,1.082236475539736
Ropa y calzado,Bulgaria,1.104152907800789
Precio metro cuadrado,Bulgaria,1.154875260310542
Enseñanza privada,Bulgaria,0.9189544992972103
Restaurantes,Croatia,0.7582822750579186
"Alimentos, bebidas y tabaco",Croatia,1.004412054961148
Transporte,Croatia,0.848500207226303
Nafta,Croatia,0.8414634146341463
Vehículos,Croatia,0.9779548842190278
Alquiler,Croatia,0.891893188055447
Servicios de la vivienda,Croatia,0.6217679625235749
Comunicaciones,Croatia,0.9589793217370537
Ocio,Croatia,1.108024966591711
Ropa y calzado,Croatia,0.8921530404769752
Precio metro cuadrado,Croatia,0.5957373195061089
Enseñanza privada,Croatia,1.291881703702737
Restaurantes,Montenegro,0.8802351834798243
"Alimentos, bebidas y tabaco",Montenegro,1.159727619374404
Transporte,Montenegro,1.143428765536403
Nafta,Montenegro,0.8518518518518517
Vehículos,Montenegro,0.9713423595058646
Alquiler,Montenegro,0.7669763879083845
Servicios de la vivienda,Montenegro,0.8364023242491203
Comunicaciones,Montenegro,1.011703426674844
Ocio,Montenegro,1.164912340624632
Ropa y calzado,Montenegro,0.9289510431496655
Precio metro cuadrado,Montenegro,0.9028771494378915
Enseñanza privada,Montenegro,1.086270308462127
Restaurantes,Albania,0.9500926123582774
"Alimentos, bebidas y tabaco",Albania,1.081176219424233
Transporte,Albania,1.111987857451791
Nafta,Albania,0.6634615384615384
Vehículos,Albania,1.05516931715681
Alquiler,Albania,1.225019081829359
Servicios de la vivienda,Albania,1.108817808515236
Comunicaciones,Albania,1.383998946210253
Ocio,Albania,0.8565065531424909
Ropa y calzado,Albania,0.9019566350353968
Precio metro cuadrado,Albania,1.218930581086703
Enseñanza privada,Albania,1.603388884432184
Restaurantes,Hungary,1.025797667172392
"Alimentos, bebidas y tabaco",Hungary,1.142049352298688
Transporte,Hungary,0.8232749449560622
Nafta,Hungary,0.8165680473372781
Vehículos,Hungary,1.015080646603064
Alquiler,Hungary,1.111986815099264
Servicios de la vivienda,Hungary,0.6946710168569875
Comunicaciones,Hungary,1.228320803932748
Ocio,Hungary,1.037195064336112
Ropa y calzado,Hungary,1.049463554313355
Precio metro cuadrado,Hungary,0.7334978269424609
Enseñanza privada,Hungary,0.8902397280200176
Restaurantes,Armenia,1.11471457354199
"Alimentos, bebidas y tabaco",Armenia,1.222958031186127
Transporte,Armenia,2.838285709365955
Nafta,Armenia,1.060606060606061
Vehículos,Armenia,0.8828644246315067
Alquiler,Armenia,0.6434808525691915
Servicios de la vivienda,Armenia,0.8833952804909673
Comunicaciones,Armenia,1.668535259179605
Ocio,Armenia,0.7890774764282231
Ropa y calzado,Armenia,0.7001303582526661
Precio metro cuadrado,Armenia,0.8805308076624366
Enseñanza privada,Armenia,0.991980481658324
Restaurantes,Panama,0.9059214954670473
"Alimentos, bebidas y tabaco",Panama,0.8422223726607362
Transporte,Panama,1.041885714285714
Nafta,Panama,1.428571428571429
Vehículos,Panama,1.249442575711136
Alquiler,Panama,0.6351510305415163
Servicios de la vivienda,Panama,1.038878201883163
Comunicaciones,Panama,0.5863929746259215
Ocio,Panama,0.7830981874355875
Ropa y calzado,Panama,1.104771799038212
Precio metro cuadrado,Panama,1.054099281022112
Enseñanza privada,Panama,0.872054561282064
Restaurantes,Venezuela,1.081083343899357
"Alimentos, bebidas y tabaco",Venezuela,1.079600972908928
Transporte,Venezuela,0.952425925925926
Nafta,Venezuela,2.8
Vehículos,Venezuela,0.839667100464576
Alquiler,Venezuela,2.213878814208005
Servicios de la vivienda,Venezuela,5.245910020449898
Comunicaciones,Venezuela,1.065691672557312
Ocio,Venezuela,1.212061268772194
Ropa y calzado,Venezuela,1.211769974080346
Precio metro cuadrado,Venezuela,3.393554214193768
Enseñanza privada,Venezuela,2.833288405631281
Restaurantes,Costa Rica,0.7087759194496607
"Alimentos, bebidas y tabaco",Costa Rica,0.711798095462781
Transporte,Costa Rica,0.957199660986092
Nafta,Costa Rica,0.9139072847682118
Vehículos,Costa Rica,0.8320616581728737
Alquiler,Costa Rica,0.7483855768038776
Servicios de la vivienda,Costa Rica,1.200959737827715
Comunicaciones,Costa Rica,0.643485408196163
Ocio,Costa Rica,0.7024089453609403
Ropa y calzado,Costa Rica,0.7995610790080774
Precio metro cuadrado,Costa Rica,1.155080692827588
Enseñanza privada,Costa Rica,0.7206322996089859
Restaurantes,Romania,0.9342710689824978
"Alimentos, bebidas y tabaco",Romania,1.179583562388915
Transporte,Romania,1.801861054967701
Nafta,Romania,0.9139072847682118
Vehículos,Romania,1.076106510434627
Alquiler,Romania,1.276567362416908
Servicios de la vivienda,Romania,0.7069239814622674
Comunicaciones,Romania,2.754247477277607
Ocio,Romania,0.9801689286188255
Ropa y calzado,Romania,1.059087523958844
Precio metro cuadrado,Romania,1.082411931226502
Enseñanza privada,Romania,0.8410574776279773
Restaurantes,Mexico,0.8984939910931569
"Alimentos, bebidas y tabaco",Mexico,0.8622614845564058
Transporte,Mexico,0.9441462033314184
Nafta,Mexico,0.9857142857142857
Vehículos,Mexico,1.171191808833665
Alquiler,Mexico,0.7477045160012412
Servicios de la vivienda,Mexico,1.432100488485694
Comunicaciones,Mexico,0.8081463030955427
Ocio,Mexico,1.089097554828679
Ropa y calzado,Mexico,0.9694441192468428
Precio metro cuadrado,Mexico,1.143565221234701
Enseñanza privada,Mexico,1.289796549967778
Restaurantes,Georgia,1.300987190545757
"Alimentos, bebidas y tabaco",Georgia,1.209032863872864
Transporte,Georgia,1.915589080975268
Nafta,Georgia,1.186440677966102
Vehículos,Georgia,1.209284244449583
Alquiler,Georgia,0.8656288259331578
Servicios de la vivienda,Georgia,1.480663780663781
Comunicaciones,Georgia,1.639778483326197
Ocio,Georgia,1.090628674853171
Ropa y calzado,Georgia,0.8079428159327555
Precio metro cuadrado,Georgia,1.593450841464849
Enseñanza privada,Georgia,1.60335292197558
Restaurantes,Kazakhstan,1.372679122222075
"Alimentos, bebidas y tabaco",Kazakhstan,1.387279480371542
Transporte,Kazakhstan,2.215458863656604
Nafta,Kazakhstan,2.692307692307692
Vehículos,Kazakhstan,1.089676045744755
Alquiler,Kazakhstan,0.9472701453029246
Servicios de la vivienda,Kazakhstan,1.739447363959993
Comunicaciones,Kazakhstan,2.002932434358078
Ocio,Kazakhstan,1.03619682598857
Ropa y calzado,Kazakhstan,0.7812015972257816
Precio metro cuadrado,Kazakhstan,1.568958731706133
Enseñanza privada,Kazakhstan,1.052490428771259
Restaurantes,Hong Kong (China),0.7793830401620084
"Alimentos, bebidas y tabaco",Hong Kong (China),0.5495423827570768
Transporte,Hong Kong (China),0.6345511462623378
Nafta,Hong Kong (China),0.4509803921568627
Vehículos,Hong Kong (China),0.8338018711371928
Alquiler,Hong Kong (China),0.2170751658116235
Servicios de la vivienda,Hong Kong (China),0.3934855426789358
Comunicaciones,Hong Kong (China),1.151631760225244
Ocio,Hong Kong (China),0.9465609902937755
Ropa y calzado,Hong Kong (China),0.8457950752805004
Precio metro cuadrado,Hong Kong (China),0.08059698497380505
Enseñanza privada,Hong Kong (China),0.3349401664934391
Restaurantes,Azerbaijan,1.506646425657008
"Alimentos, bebidas y tabaco",Azerbaijan,1.481803579690587
Transporte,Azerbaijan,2.295068182360091
Nafta,Azerbaijan,2.295081967213115
Vehículos,Azerbaijan,1.248858580887178
Alquiler,Azerbaijan,1.479686869043704
Servicios de la vivienda,Azerbaijan,1.803339191564148
Comunicaciones,Azerbaijan,1.728897720984052
Ocio,Azerbaijan,0.957146392265574
Ropa y calzado,Azerbaijan,0.9060050013248389
Precio metro cuadrado,Azerbaijan,1.584352521861195
Enseñanza privada,Azerbaijan,1.311631953485167
Restaurantes,Poland,0.8482938662111285
"Alimentos, bebidas y tabaco",Poland,1.204476428380937
Transporte,Poland,1.078386076222877
Nafta,Poland,0.8414634146341463
Vehículos,Poland,0.9464546010730295
Alquiler,Poland,0.6543835660894874
Servicios de la vivienda,Poland,0.3969240329345968
Comunicaciones,Poland,2.006431294352237
Ocio,Poland,1.024136922029009
Ropa y calzado,Poland,0.9073631679036728
Precio metro cuadrado,Poland,0.5551714989211958
Enseñanza privada,Poland,0.9191142372323939
Restaurantes,Slovakia,0.9399402463469564
"Alimentos, bebidas y tabaco",Slovakia,0.9968800881674613
Transporte,Slovakia,0.8442996459046845
Nafta,Slovakia,0.793103448275862
Vehículos,Slovakia,1.110998728099015
Alquiler,Slovakia,0.8304210099589592
Servicios de la vivienda,Slovakia,0.4184408778250901
Comunicaciones,Slovakia,1.020329287190083
Ocio,Slovakia,0.9536277007194952
Ropa y calzado,Slovakia,1.00285931792537
Precio metro cuadrado,Slovakia,0.5493616807914623
Enseñanza privada,Slovakia,0.6442773347653119
Restaurantes,Czech Republic,0.9777886507685102
"Alimentos, bebidas y tabaco",Czech Republic,1.005898587845588
Transporte,Czech Republic,0.8947734308926911
Nafta,Czech Republic,0.8466257668711656
Vehículos,Czech Republic,1.040254932748454
Alquiler,Czech Republic,0.6073903981733756
Servicios de la vivienda,Czech Republic,0.3552187967050155
Comunicaciones,Czech Republic,1.01253555320933
Ocio,Czech Republic,0.8210084499408751
Ropa y calzado,Czech Republic,0.8930242431900499
Precio metro cuadrado,Czech Republic,0.4605376040952503
Enseñanza privada,Czech Republic,0.7793397651092279
Restaurantes,Chile,0.8951425004651515
"Alimentos, bebidas y tabaco",Chile,1.010173606777915
Transporte,Chile,1.52385553295174
Nafta,Chile,1.014492753623188
Vehículos,Chile,1.607767292312127
Alquiler,Chile,1.140812867105709
Servicios de la vivienda,Chile,0.8116264294790343
Comunicaciones,Chile,1.425821166813251
Ocio,Chile,1.08481961942255
Ropa y calzado,Chile,1.318728654551984
Precio metro cuadrado,Chile,0.8858750596788543
Enseñanza privada,Chile,1.120615914178034
Restaurantes,Serbia,0.9865092579578358
"Alimentos, bebidas y tabaco",Serbia,1.317270819335474
Transporte,Serbia,1.244073511259781
Nafta,Serbia,0.8263473053892215
Vehículos,Serbia,1.033541697621733
Alquiler,Serbia,1.03143236763097
Servicios de la vivienda,Serbia,0.6417582417582418
Comunicaciones,Serbia,1.111336739679453
Ocio,Serbia,1.271112008558889
Ropa y calzado,Serbia,0.8962130663733335
Precio metro cuadrado,Serbia,0.8136305401908763
Enseñanza privada,Serbia,1.144035701563604
Restaurantes,Qatar,1.28048820199251
"Alimentos, bebidas y tabaco",Qatar,0.9924922918971862
Transporte,Qatar,0.9641351723063745
Nafta,Qatar,2.456140350877193
Vehículos,Qatar,1.310970000222918
Alquiler,Qatar,0.3375951421075898
Servicios de la vivienda,Qatar,1.007165292500982
Comunicaciones,Qatar,0.3492074925413094
Ocio,Qatar,0.4366739788207187
Ropa y calzado,Qatar,0.942271421551967
Precio metro cuadrado,Qatar,0.4729297792163782
Enseñanza privada,Qatar,0.5313654057618625
Restaurantes,United Arab Emirates,0.7944009427609096
"Alimentos, bebidas y tabaco",United Arab Emirates,0.860531816873113
Transporte,United Arab Emirates,0.7903863910092948
Nafta,United Arab Emirates,1.666666666666667
Vehículos,United Arab Emirates,0.9399196850825637
Alquiler,United Arab Emirates,0.3003764127578599
Servicios de la vivienda,United Arab Emirates,0.5922577654149281
Comunicaciones,United Arab Emirates,0.2903780305914967
Ocio,United Arab Emirates,0.5247556269756778
Ropa y calzado,United Arab Emirates,0.8059163932080983
Precio metro cuadrado,United Arab Emirates,0.6745304820696529
Enseñanza privada,United Arab Emirates,0.6038922733668343
Restaurantes,South Africa,1.310019134087977
"Alimentos, bebidas y tabaco",South Africa,1.357376430302827
Transporte,South Africa,1.256520684900841
Nafta,South Africa,1.111111111111111
Vehículos,South Africa,1.356657511683554
